feature,density,fire_count,mean_activation_when_active,dead
0,0.0024747101984109753,399,3.596412810765412,False
1,0.00011164106158245002,18,4.29768701394399,False
2,0.018805316595443804,3032,0.7264540881154405,False
3,0.006208483480224026,1001,0.7627888237917936,False
4,0.0019909322648870255,321,6.097384869495285,False
5,0.02487734988928928,4011,1.0376046455818886,False
6,8.062965558732502e-05,13,1.0638255522801325,False
7,4.961824959220001e-05,8,2.789365917444229,False
8,0.07029045282855034,11333,0.8339270990018778,False
9,0.028133547518777405,4536,0.6354429852184585,False
10,0.0009675558670479002,156,1.7113796862272115,False
11,0.00017366387357270005,28,2.8910704340253557,False
12,0.0014699406441689253,237,1.570892331972404,False
13,0.00022948440436392506,37,1.1593153025652911,False
14,0.005656480453510801,912,0.692920140007086,False
15,0.005116881989195626,825,0.6752809929125236,False
16,8.683193678635003e-05,14,1.1592676469257899,False
17,0.0020281459520811755,327,1.804308322591519,False
18,0.0022266189504499753,359,1.5222220420837402,False
19,0.0031755679739008005,512,1.1401025359518826,False
20,0.0015691771433533252,253,1.2615537078013062,False
21,0.02083346254752498,3359,0.7448419827583043,False
22,0.0018234706725133503,294,1.581790345866664,False
23,0.00032251862234930007,52,1.6083753407001495,False
24,0.010860194379492778,1751,0.9657616280338411,False
25,0.0014699406441689253,237,1.603702629668803,False
26,0.0026607786343817255,429,0.8542789787679286,False
27,0.0004403619651307751,71,10.430468915214002,False
28,0.0022762372000421755,367,1.558771273745503,False
29,0.0008993307738586252,145,1.5149713623112646,False
30,0.0020343482332802003,328,0.8941904524477516,False
31,8.683193678635003e-05,14,2.0155254857880727,False
32,0.0038019983750023256,613,1.1164325889910998,False
33,0.0015939862681494253,257,0.9093016910181899,False
34,0.0022390235128480255,361,1.3568634349553539,False
35,0.0035353002834442506,570,0.9347916636550636,False
36,0.0021583938572607006,348,1.4873194704795707,False
37,0.006363540510199652,1026,0.8798529483653881,False
38,0.0004093505591356501,66,1.6208616242264255,False
39,0.0032499953482891006,524,2.592641292182544,False
40,0.006921745818111902,1116,0.9167673075070946,False
41,8.683193678635003e-05,14,12.717376359871455,False
42,9.303421798537502e-05,15,3.0523990472157796,False
43,0.003274804473085201,528,1.035458629104224,False
44,0.0014637383629699002,236,1.1673076587208246,False
45,0.0013024790517952502,210,0.9974632564045134,False
46,0.00010543878038342502,17,2.1303828604081096,False
47,0.004031482779366251,650,1.4899779538007882,False
48,0.0004031482779366251,65,0.705402056987469,False
49,0.0033182204414783758,535,0.7248489709658044,False
50,0.0021645961384597254,349,2.1539524250522386,False
51,0.0022762372000421755,367,1.0626557561941952,False
52,0.0023320577308334005,376,2.1396973167962217,False
53,0.00011784334278147503,19,1.825074358990318,False
54,0.004254764902531151,686,1.1936193367482621,False
55,0.0007814874310771502,126,1.1162846570923215,False
56,0.0008000942746742252,129,8.352042146431383,False
57,0.0028964653199446758,467,1.019630134999114,False
58,0.0012900744893972003,208,1.4636968162197332,False
59,0.0022266189504499753,359,2.796584173165324,False
60,0.011207522126638178,1807,1.0031203125878203,False
61,0.0019785277024889753,319,1.4602149485794353,False
62,1.2404562398050002e-05,2,3.309742748737335,False
63,0.011058667377861578,1783,2.069038669246004,False
64,0.0016001885493484504,258,1.2496472366096438,False
65,0.012119257462894852,1954,0.7894384167943542,False
66,0.0006326326823005501,102,1.4614135809973174,False
67,0.0014141201133777003,228,7.166684402708421,False
68,0.0023816759804256007,384,1.724643404285113,False
69,0.0028158356643573504,454,2.255800327277919,False
